iter	Logloss
0	0.6473471166
1	0.6083043303
2	0.5760607375
3	0.5485547845
4	0.5259031572
5	0.5065415786
6	0.4902845373
7	0.4769315388
8	0.4654665441
9	0.4560370606
10	0.4476581689
11	0.4406365358
12	0.4350190313
13	0.4302719963
14	0.4248711235
15	0.4202754518
16	0.4163304877
17	0.413175355
18	0.4103738028
19	0.4080978668
20	0.406075074
21	0.4042687066
22	0.4027600116
23	0.4016018914
24	0.4003035737
25	0.3991961705
26	0.3983481916
27	0.3974655747
28	0.3966474432
29	0.3962985551
30	0.3958750009
31	0.3956562075
32	0.3952124559
33	0.3948558433
34	0.3943924844
35	0.394054559
36	0.3936901438
37	0.3933248896
38	0.3930841564
39	0.3928070392
40	0.3925923678
41	0.3923366665
42	0.3920970835
43	0.3919016268
44	0.3917477201
45	0.3916122219
46	0.3914532223
47	0.3913351338
48	0.3912524577
49	0.3911444531
50	0.3910237189
51	0.3909250418
52	0.3908657182
53	0.3907755285
54	0.3906984502
55	0.3906041819
56	0.3905238172
57	0.3905211748
58	0.3904465768
59	0.3903559186
60	0.3903149488
61	0.3902029076
62	0.3901278649
63	0.3900645308
64	0.3899675233
65	0.3899047711
66	0.3898456254
67	0.3898017872
68	0.3897816772
69	0.3897545887
70	0.3897156221
71	0.3896605741
72	0.3896306241
73	0.3895679265
74	0.3894924417
75	0.3894924156
76	0.3894503015
77	0.3893944725
78	0.3893549247
79	0.3893548393
80	0.3893136944
81	0.3892567995
82	0.3892567993
83	0.3892151224
84	0.3891521741
85	0.3891111761
86	0.3890658109
87	0.3890074253
88	0.3889436993
89	0.3889109716
90	0.38882832
91	0.3888035101
92	0.3887702674
93	0.3887046449
94	0.3887046404
95	0.3886780921
96	0.3886563431
97	0.3886258859
98	0.3886085154
99	0.3885626118
100	0.3885007318
101	0.3884743461
102	0.3884318021
103	0.3884294254
104	0.3884294209
105	0.3883818833
106	0.3883443431
107	0.3883204985
108	0.3882820275
109	0.3882820244
110	0.3882808959
111	0.3882592574
112	0.3882204425
113	0.3882008708
114	0.3881620061
115	0.3881465718
116	0.3881208182
117	0.3880934769
118	0.3880608179
119	0.3880583892
120	0.3880307714
121	0.388005928
122	0.387988684
123	0.387949616
124	0.3879496148
125	0.3879329118
126	0.38793291
127	0.3879011373
128	0.3878853231
129	0.3878791104
130	0.3878789823
131	0.3878586271
132	0.3877955371
133	0.3877741739
134	0.3877515038
135	0.3877495994
136	0.3877142282
137	0.3876927674
138	0.3876927383
139	0.3876638199
140	0.3876269629
141	0.3875841677
142	0.3875602022
143	0.3875601947
144	0.3875097178
145	0.3874918459
146	0.3874744119
147	0.3874482639
148	0.3874334029
149	0.3874243797
150	0.3873762526
151	0.3873455766
152	0.387305744
153	0.3872927167
154	0.3872558517
155	0.387202599
156	0.3871471616
157	0.3871284876
158	0.3871154639
159	0.3870910864
160	0.3870667987
161	0.3870664819
162	0.3870528586
163	0.3870263189
164	0.3869921385
165	0.3869728077
166	0.3869295791
167	0.3869013842
168	0.3868897688
169	0.3868530745
170	0.3868276236
171	0.3868053168
172	0.3867656315
173	0.3867505696
174	0.386732938
175	0.3867315003
176	0.3866858652
177	0.3866659485
178	0.38664033
179	0.3866161737
180	0.3865787823
181	0.3865588141
182	0.3865230175
183	0.3865126578
184	0.3864846504
185	0.3864625391
186	0.3864391277
187	0.3864195603
188	0.3863965792
189	0.3863634067
190	0.38634533
191	0.3863241267
192	0.3863012074
193	0.3862851434
194	0.386270879
195	0.3862599793
196	0.3862431072
197	0.3862078346
198	0.3861731913
199	0.3861192976
200	0.3861006568
201	0.38608966
202	0.3860745348
203	0.3860290321
204	0.3860161464
205	0.3859981656
206	0.3859579364
207	0.3859357305
208	0.3859290027
209	0.3858957809
210	0.3858838848
211	0.3858705435
212	0.3858516896
213	0.3858454194
214	0.3858127553
215	0.3857863187
216	0.3857580905
217	0.3857222676
218	0.3856922656
219	0.3856579221
220	0.3856288656
221	0.3856148271
222	0.3856008352
223	0.3855895666
224	0.3855717817
225	0.3855147872
226	0.3854763351
227	0.3854354784
228	0.3854178065
229	0.3854016568
230	0.3853566698
231	0.385337301
232	0.3853251796
233	0.3853210308
234	0.3853076656
235	0.3852914187
236	0.3852755753
237	0.3852490048
238	0.3852266901
239	0.385203037
240	0.3851862994
241	0.3851498416
242	0.3851230873
243	0.3851012155
244	0.3850790975
245	0.3850407279
246	0.3850046076
247	0.3849782381
248	0.3849387844
249	0.3849192467
250	0.3848798279
251	0.3848563181
252	0.3848222211
253	0.3848062042
254	0.3848012868
255	0.3847806554
256	0.3847684321
257	0.38473312
258	0.3847124365
259	0.3846936969
260	0.3846725037
261	0.3846586026
262	0.384634929
263	0.3846037832
264	0.3845744635
265	0.3845549503
266	0.3845298477
267	0.3845118688
268	0.3844881863
269	0.3844789404
270	0.3844680932
271	0.3844600859
272	0.3844424372
273	0.3844318289
274	0.3844204449
275	0.3843902886
276	0.3843738635
277	0.384365698
278	0.384353564
279	0.3843302375
280	0.3842988985
281	0.3842755342
282	0.3842558078
283	0.3842385699
284	0.3842226429
285	0.3841964767
286	0.3841704542
287	0.3841339005
288	0.3841141903
289	0.3840765109
290	0.3840553794
291	0.3840406376
292	0.3840119994
293	0.3839979363
294	0.3839720583
295	0.3839596503
296	0.3839347521
297	0.3839131098
298	0.3839022171
299	0.3838775273
300	0.3838558533
301	0.3838433641
302	0.3838354182
303	0.383818514
304	0.3837834252
305	0.3837571278
306	0.3837410939
307	0.3837305039
308	0.3837013989
309	0.3836964118
310	0.3836772426
311	0.3836625192
312	0.3836381231
313	0.3836118075
314	0.3835818505
315	0.383541438
316	0.3835351237
317	0.3835230451
318	0.3835094225
319	0.3834928503
320	0.3834706875
321	0.383453024
322	0.3834308128
323	0.3834114959
324	0.383380181
325	0.3833722399
326	0.3833571043
327	0.3833288044
328	0.383305876
329	0.3832897767
330	0.3832642473
331	0.3832471002
332	0.3832259038
333	0.3832133533
334	0.3832084746
335	0.3831945391
336	0.3831835625
337	0.3831653793
338	0.3831472516
339	0.383112838
340	0.3831031384
341	0.3830624913
342	0.3830447606
343	0.3830011622
344	0.3829861141
345	0.3829475461
346	0.3829030771
347	0.3828944226
348	0.3828733079
349	0.3828449596
350	0.382818412
351	0.3827675377
352	0.382733208
353	0.3827195
354	0.3826972592
355	0.3826523383
356	0.3826375541
357	0.3826246836
358	0.3826102146
359	0.3825728166
360	0.3825561953
361	0.3825468622
362	0.3825224262
363	0.3824954798
364	0.3824880556
365	0.3824667884
366	0.3824462039
367	0.3824260695
368	0.3824153761
369	0.3823979842
370	0.3823782581
371	0.3823413129
372	0.3823156801
373	0.3823048975
374	0.3822897583
